weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments,
t7_pistol_m1911,t7_pistol_m1911_upgraded,,10000,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_pistol_mc96,t7_pistol_mc96_upgraded,,10000,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_smg_ak74u,t7_smg_ak74u_upgraded,,1200,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,smg,,,,
t7_smg_mp40,t7_smg_mp40_upgraded,,1300,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,smg,,,,
t7_ar_stg44,t7_ar_stg44_upgraded,,1400,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t7_ar_m16,t7_ar_m16_upgraded,,1200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t7_ar_galil,t7_ar_galil_upgraded,,1500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t7_ar_an94,t7_ar_an94_upgraded,,1200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t7_ar_hk416,t7_ar_hk416_upgraded,,1200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t7_lmg_mg08,t7_lmg_mg08_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,lmg,,,,
t7_lmg_rpk,t7_lmg_rpk_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,lmg,,,,
t7_shotgun_rottweil72,t7_shotgun_rottweil72_upgraded,,500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,shotgun,,,,
t7_launch_china_lake,t7_launch_china_lake_upgraded,,1200,special,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_raygun_mark2,t7_raygun_mark2_upgraded,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_zombie_beacon,t7_zombie_beacon,,5000,grenade,,,,,'FALSE,FALSE,FALSE,,,FALSE,FALSE,grenade,,,,
t7_black_hole_bomb,t7_black_hole_bomb,,5000,grenade,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,grenade,,,,
t7_black_hole_bomb,t7_black_hole_bomb,,5000,grenade,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,grenade,,,,
t7_staff_fire,t7_staff_fire,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_staff_fire_upgraded,t7_staff_fire_upgraded,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_staff_air,t7_staff_air,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_staff_air_upgraded,t7_staff_air_upgraded,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_staff_bolt,t7_staff_bolt,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_staff_bolt_upgraded,t7_staff_bolt_upgraded,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_staff_water,t7_staff_water,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
t7_staff_water_upgraded,t7_staff_water_upgraded,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
dragon_shield,dragon_shield_upgraded,,10000,special,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,,,
idgun_0,idgun_upgraded_0,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
idgun_1,idgun_upgraded_1,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
idgun_2,idgun_upgraded_2,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
idgun_3,idgun_upgraded_3,,10000,wpck_ray,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
