t6_executioner_up,none,extbarrel,,,
t6_kap40_up,none,dualclip,,,
t6_fiveseven_up,none,dualclip,,,
t6_b23r_up,none,dualclip,,,
t6_chicom_cqb_up,none,reflex,grip,dualclip,sf
t6_rem870mcs_up,none,reflex,,,
t6_s12_up,none,reflex,extbarrel,,
t6_m1216_up,none,reflex,extbarrel,,
t6_smr_up,dualoptic,reflex,rangefinder,mms,
t6_m8a1_up,reflex,longbreath,rangefinder,gl,mms
t6_type25_up,reflex,longbreath,rangefinder,gl,mms
t6_mtar_up,reflex,longbreath,rangefinder,gl,mms
t6_hamr_up,none,reflex,grip,acog,
t6_dsr50_up,vzoom,is,silencer,vzoom,
t6_m27_up,reflex,longbreath,rangefinder,mms,
t6_lsat_up,rangefinder,reflex,grip,acog,
t6_an94_up,reflex,grip,rangefinder,mms,
t6_pdw57_up,none,reflex,rangefinder,mms,
t6_ballista_up,acog,is,acog,,
t6_skorpion_evo_up,reflex,rangefinder,dualclip,reflex,
t6_scarh_up,reflex,rangefinder,dualclip,acog,
