hud_obit_weapon_butt,0,hud_obit_weapon_butt,1.4,1.4
t7_hud_icon_menu_siegebot_kf,0,t7_hud_icon_menu_siegebot_kf,1.4,1.4
hud_obit_death_grenade_round,0,hud_obit_death_grenade_round,1.4,1.4
hud_obit_death_falling,0,hud_obit_death_falling,1.4,1.4
killiconheadshot,0,killiconheadshot,1.4,1.4
hud_obit_crate,0,hud_obit_crate,1.4,1.4
hud_obit_knife,0,hud_obit_knife,1.4,1.4
hud_obit_death_suicide,0,hud_obit_death_suicide,1.4,1.4
hud_obit_death_crush,0,hud_obit_death_crush,1.4,1.4

t5_zm_aat_blast_furnace,0,t5_zm_aat_blast_furnace,1,1
t5_zm_aat_dead_wire,0,t5_zm_aat_dead_wire,1,1
t5_zm_aat_fire_works,0,t5_zm_aat_fire_works,1,1
t5_zm_aat_thunder_wall,0,t5_zm_aat_thunder_wall,1,1
t5_zm_aat_turned,0,t5_zm_aat_turned,1,1
t5_zm_perk_mulekick,0,t5_zm_perk_mulekick,0.9,0.9
